NOMBRE_DEL_PROGRAMA,CINE_F_2013_AC_CAMPO_DETALLADO,NÚMERO_PERIODOS_DE_DURACIÓN,PERIODICIDAD,COSTO_MATRÍCULA_ESTUD_NUEVOS,MEDIANA_SALARIO,costo_total_con_inflacion
LICENCIATURA EN LENGUAS EXTRANJERAS CON ENFASIS  EN INGLES Y EN FRANCES,CIENCIAS DE LA EDUCACION,10,Semestral,1180790,3021412,19233824.863525357
"LICENCIATURA EN LENGUAS MODERNAS, CON ENFASIS EN  INGLES",FORMACION PARA DOCENTES SIN ASIGNATURA DE ESPECIALIZACION,10,Semestral,1078783,3381944,17572238.321588494
LICENCIATURA EN LITERATURA Y LENGUA CASTELLANA,CIENCIAS DE LA EDUCACION,10,Semestral,881791,3021412,14363446.218407074
LICENCIATURA EN MATEMATICAS,CIENCIAS DE LA EDUCACION,10,Semestral,727225,3021412,11845728.949582253
LICENCIATURA EN MUSICA,CIENCIAS DE LA EDUCACION,10,Semestral,1171764,3021412,19086800.834512427
LICENCIATURA EN PSICOPEDAGOGIA CON ENFASIS EN ASESORIA EDUCATIVA,CIENCIAS DE LA EDUCACION,10,Semestral,807667,3021412,13156044.365254562
MATEMATICAS,MATEMATICAS,10,Semestral,809076,3125000,13178995.490545856
MEDICINA,MEDICINA,13,Semestral,1894015,3500000,46428820.88386548
MEDICINA VETERINARIA Y ZOOTECNIA,VETERINARIA,10,Semestral,1509439,3555556,24587170.765483152
MERCADEO AGROINDUSTRIAL,MERCADOTECNIA Y PUBLICIDAD,10,Semestral,1601960,3579710,26094240.36312391
PSICOLOGIA,PSICOLOGIA,10,Semestral,1423550,2333333,23188129.459490277
QUIMICA,QUIMICA,10,Semestral,1015351,3305556,16538997.881931026
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,10,Semestral,583113,3362637,9498296.325040745
CONTADURIA PUBLICA,CONTABILIDAD E IMPUESTOS,10,Semestral,672823,2958333,10959577.694722788
FINANZAS Y COMERCIO INTERNACIONAL,GESTION Y ADMINISTRACION,10,Semestral,986807,3362637,16074046.199663673
INGENIERIA DE MINAS,MINERIA Y EXTRACCION,10,Semestral,717678,4375000,11690218.37956381
INGENIERIA ELECTRONICA,ELECTRONICA Y AUTOMATIZACION,10,Semestral,807387,4157197,13151483.460299585
INGENIERIA GEOLOGICA,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,897097,3809524,14612764.829981629
INGENIERIA INDUSTRIAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,717678,3809524,11690218.37956381
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,10,Semestral,493403,3362637,8037014.955358702
CONTADURIA PUBLICA,CONTABILIDAD E IMPUESTOS,10,Semestral,448548,2958333,7306374.270517681
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,10,Semestral,475510,3362637,7745556.839789415
ANTROPOLOGIA,"SOCIOLOGIA, ANTROPOLOGIA Y ESTUDIOS CULTURALES",10,Semestral,441950,3611111,7198899.803042905
ARQUITECTURA,ARQUITECTURA Y URBANISMO,9,Semestral,535635,3611111,7478511.200690873
ARTES PLASTICAS,BELLAS ARTES,10,Semestral,465535,3068750,7583074.600768365
BIOLOGIA,BIOLOGIA,10,Semestral,585670,3444444,9539947.160647444
CIENCIA POLITICA,CIENCIAS POLITICAS Y EDUCACION CIVICA,8,Semestral,413843,3535088,4891476.745791977
COMUNICACION SOCIAL,"PERIODISMO, COMUNICACION Y REPORTAJES",9,Semestral,543349,3307292,7586213.713413397
CONTADURIA PUBLICA,CONTABILIDAD E IMPUESTOS,11,Semestral,394051,2958333,7413570.278456009
CONTADURIA PUBLICA,CONTABILIDAD E IMPUESTOS,10,Semestral,114403,2958333,1863504.319872197
DERECHO,DERECHO,10,Semestral,936065,2761905,15247512.488144262
DERECHO,DERECHO,10,Semestral,732038,2761905,11924127.64796905
DIRECCION DE BANDA,MUSICA Y ARTES ESCENICAS,10,Semestral,379971,3131173,6189327.202312514
DISE?O GRAFICO,BELLAS ARTES,9,Semestral,471355,3068750,6581036.801182982
ECONOMIA,ECONOMIA,10,Semestral,559743,3262821,9117623.650762858
ENFERMERIA,ENFERMERIA Y PARTERIA,10,Semestral,422920,2666667,6888921.155567158
FILOSOFIA,FILOSOFIA Y ETICA,8,Semestral,322821,3023810,3815629.150555433
FISIOTERAPIA,"FISIOTERAPIA, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL, NUTRICION Y AFINES",10,Semestral,436517,3333333,7110401.9579700865
FONOAUDIOLOGIA,"FISIOTERAPIA, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL, NUTRICION Y AFINES",10,Semestral,393057,3333333,6402484.3531726105
GEOGRAFIA DEL DESARROLLO REGIONAL Y AMBIENTAL,ECONOMIA,10,Semestral,308661,3262821,5027762.443957521
