NOMBRE_DEL_PROGRAMA,CINE_F_2013_AC_CAMPO_DETALLADO,NÚMERO_PERIODOS_DE_DURACIÓN,PERIODICIDAD,COSTO_MATRÍCULA_ESTUD_NUEVOS,MEDIANA_SALARIO,costo_total_con_inflacion
CONTADURIA PUBLICA,CONTABILIDAD E IMPUESTOS,10,Semestral,2232660,2958333,36367678.77420924
DERECHO,DERECHO,10,Semestral,2232660,2761905,36367678.77420924
ECONOMIA,ECONOMIA,10,Semestral,2232660,3262821,36367678.77420924
ENFERMERIA,ENFERMERIA Y PARTERIA,10,Semestral,2232660,2666667,36367678.77420924
INGENIERIA AMBIENTAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,2232660,3809524,36367678.77420924
INGENIERIA CIVIL,CONSTRUCCION E INGENIERIA CIVIL,10,Semestral,2232660,4076923,36367678.77420924
INGENIERIA DE SISTEMAS,ELECTRONICA Y AUTOMATIZACION,10,Semestral,2232660,4157197,36367678.77420924
INGENIERIA INDUSTRIAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,2232660,3809524,36367678.77420924
INGENIERIA MECANICA,MECANICA Y PROFESIONES AFINES A LA METALISTERIA,10,Semestral,2232660,4138889,36367678.77420924
"LICENCIATURA EN EDUCACION  FISICA, RECREACION  Y  DEPORTE",CIENCIAS DE LA EDUCACION,10,Semestral,2232660,3021412,36367678.77420924
LICENCIATURA EN EDUCACION INFANTIL,CIENCIAS DE LA EDUCACION,10,Semestral,2232660,3021412,36367678.77420924
LICENCIATURA EN ETNOEDUCACION E INTERCULTURALIDAD,CIENCIAS DE LA EDUCACION,9,Semestral,2232660,3021412,31172296.092179347
LICENCIATURA EN MUSICA,CIENCIAS DE LA EDUCACION,10,Semestral,2232660,3021412,36367678.77420924
NEGOCIOS INTERNACIONALES,GESTION Y ADMINISTRACION,10,Semestral,2232660,3362637,36367678.77420924
NUTRICION Y DIETETICA,"FISIOTERAPIA, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL, NUTRICION Y AFINES",10,Semestral,2232660,3333333,36367678.77420924
PSICOLOGIA,PSICOLOGIA,10,Semestral,2232660,2333333,36367678.77420924
TRABAJO SOCIAL,TRABAJO SOCIAL,10,Semestral,2232660,3222222,36367678.77420924
TRABAJO SOCIAL,TRABAJO SOCIAL,10,Semestral,2232660,3222222,36367678.77420924
INGENIERIA AEROESPACIAL,"VEHICULOS, BARCOS Y AERONAVES DE MOTOR",10,Semestral,1211911,3777778,19740753.160324764
INGENIERIA ENERGETICA,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,755356,3809524,12303953.297041016
PSICOLOGIA,PSICOLOGIA,10,Semestral,212568,2333333,3462508.730248273
ECOLOGIA DE ZONAS COSTERAS,CIENCIAS DEL MEDIO AMBIENTE,8,Semestral,340604,3277778,4025817.87181064
ADMINISTRACION AMBIENTAL,GESTION Y ADMINISTRACION,9,Semestral,456752,3362637,6377150.387741573
ADMINISTRACION DEPORTIVA,EDUCACION COMERCIAL Y ADMINISTRACION NO CLASIFICADOS EN OTRA PARTE,9,Semestral,487806,3555556,6810724.905512544
ARCHIVISTICA Y GESTION DE LA INFORMACION DIGITAL,"BIBLIOTECOLOGIA, INFORMACION Y ARCHIVOLOGIA",9,Semestral,461031,2916667,6436893.588667122
ARTE DANZARIO,BELLAS ARTES,10,Semestral,756515,3068750,12322832.185765365
ARTES ESCENICAS,MUSICA Y ARTES ESCENICAS,10,Semestral,696214,3131173,11340592.4368723
ARTES MUSICALES,MUSICA Y ARTES ESCENICAS,10,Semestral,726077,3131173,11827029.239266848
ARTES PLASTICAS Y VISUALES,BELLAS ARTES,10,Semestral,839904,3068750,13681151.126088807
BIOLOGIA,BIOLOGIA,8,Semestral,909066,3444444,10744836.083708387
COMUNICACION SOCIAL Y PERIODISMO,"PERIODISMO, COMUNICACION Y REPORTAJES",9,Semestral,621667,3307292,8679686.022384446
FISICA,MUSICA Y ARTES ESCENICAS,10,Semestral,801644,3131173,13057936.041883757
INGENIER?A CIVIL ARTICULADO POR CICLOS PROPED?UTICOS CON EL PROGRAMA DE TECNOLOG?A EN CONSTRUCCIONES CIVILES,CONSTRUCCION E INGENIERIA CIVIL,10,Semestral,399335,4076923,6504746.357841698
INGENIERIA AMBIENTAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,737391,3809524,12011322.377340447
INGENIERIA CATASTRAL Y GEODESIA,CONSTRUCCION E INGENIERIA CIVIL,10,Semestral,623247,4076923,10152036.894551603
INGENIERIA DE PRODUCCION,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,333992,3809524,5440377.741866514
INGENIERIA DE SISTEMAS,ELECTRONICA Y AUTOMATIZACION,10,Semestral,873478,4157197,14228036.208083065
INGENIERIA ELECTRICA,ELECTRICIDAD Y ENERGIA,10,Semestral,596580,3857143,9717659.564428864
INGENIERIA ELECTRICA,ELECTRICIDAD Y ENERGIA,10,Semestral,301692,3857143,4914244.7774174
INGENIERIA ELECTRONICA,ELECTRONICA Y AUTOMATIZACION,10,Semestral,850720,4157197,13857332.368921055
INGENIERIA EN  TELECOMUNICACIONES,ELECTRONICA Y AUTOMATIZACION,10,Semestral,329711,4157197,5370644.762894172
INGENIERIA EN CONTROL Y AUTOMATIZACION,ELECTRONICA Y AUTOMATIZACION,10,Semestral,353512,4157197,5758337.973013471
INGENIERIA EN TELEM?TICA,DESARROLLO Y ANALISIS DE SOFTWARE Y APLICACIONES,10,Semestral,378044,4758929,6157938.402854512
INGENIERIA FORESTAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,581799,3809524,9476892.649644889
INGENIERIA INDUSTRIAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,743426,3809524,12109626.168066466
INGENIERIA MECANICA,MECANICA Y PROFESIONES AFINES A LA METALISTERIA,10,Semestral,444992,4138889,7248450.777589475
INGENIERIA SANITARIA,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,9,Semestral,411967,3809524,5751864.280368192
INGENIERIA TOPOGRAFICA,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,448598,3809524,7307188.71783107
LICENCIATURA  EN HUMANIDADES Y LENGUA CASTELLANA,CIENCIAS DE LA EDUCACION,10,Semestral,448637,3021412,7307823.9867355125
LICENCIATURA  EN MATEMATICAS,CIENCIAS DE LA EDUCACION,9,Semestral,390231,3021412,5448387.249445612
LICENCIATURA EN  CIENCIAS SOCIALES,CIENCIAS DE LA EDUCACION,10,Semestral,533293,3021412,8686781.021980224
LICENCIATURA EN BIOLOGIA,FORMACION PARA DOCENTES CON ASIGNATURA DE ESPECIALIZACION,8,Semestral,489916,2901515,5790632.489594901
LICENCIATURA EN EDUCACION ARTISTICA,CIENCIAS DE LA EDUCACION,8,Semestral,488562,3021412,5774628.692227778
LICENCIATURA EN EDUCACION INFANTIL,CIENCIAS DE LA EDUCACION,10,Semestral,481840,3021412,7848665.869664427
LICENCIATURA EN FISICA,CIENCIAS DE LA EDUCACION,10,Semestral,399008,3021412,6499419.872412136
LICENCIATURA EN LENGUAS EXTRANJERAS CON ENFASIS  EN INGLES,CIENCIAS DE LA EDUCACION,10,Semestral,614551,3021412,10010388.217807038
LICENCIATURA EN QUIMICA,CIENCIAS DE LA EDUCACION,9,Semestral,473206,3021412,6606880.377932968
MATEMATICAS,MATEMATICAS,8,Semestral,570887,3125000,6747680.847507254
QUIMICA,QUIMICA,9,Semestral,732612,3305556,10228695.002680074
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,10,Semestral,16548091,3362637,269550965.1332415
ANTROPOLOGIA,HISTORIA Y ARQUEOLOGIA,9,Semestral,11574968,3333333,161609170.11703572
ARQUITECTURA,CONSTRUCCION E INGENIERIA CIVIL,10,Semestral,17840144,4076923,290597147.0253582
ARTES ESCENICAS,MUSICA Y ARTES ESCENICAS,8,Semestral,15767731,3131173,186368960.01721254
ARTES VISUALES,BELLAS ARTES,10,Semestral,15767731,3068750,256839723.02372104
BACTERIOLOGIA,TECNOLOGIA DE DIAGNOSTICO Y TRATAMIENTO MEDICO,8,Semestral,11677530,3583333,138024242.14808077
BIOINGENIERIA,TECNOLOGIA DE PROTECCION DEL MEDIO AMBIENTE,8,Semestral,16970600,3684524,200586442.83493337
BIOLOGIA,BIOLOGIA,10,Semestral,12493564,3444444,203506992.68900084
CIENCIA DE DATOS,MATEMATICAS,8,Semestral,13576034,3125000,160463882.70692328
"CIENCIA DE LA INFORMACION, BIBLIOTECOLOGIA Y ARCHIVISTICA","BIBLIOTECOLOGIA, INFORMACION Y ARCHIVOLOGIA",8,Semestral,6726703,2916667,79507231.72881778
CIENCIA POLITICA,CIENCIAS POLITICAS Y EDUCACION CIVICA,10,Semestral,15214790,3535088,247832896.78547156
COMUNICACION SOCIAL,"PERIODISMO, COMUNICACION Y REPORTAJES",10,Semestral,16248210,3307292,264666219.637515
CONTADURIA PUBLICA,CONTABILIDAD E IMPUESTOS,10,Semestral,8514842,2958333,138697803.81658888
DERECHO,DERECHO,10,Semestral,17216971,2761905,280446315.51283044
DISENO INDUSTRIAL,"DISENO INDUSTRIAL, DE MODA E INTERIORES",9,Semestral,17840144,3645238,249083268.87887847
ECOLOGIA,CIENCIAS DEL MEDIO AMBIENTE,10,Semestral,12493564,3277778,203506992.68900084
ECONOMIA,ECONOMIA,9,Semestral,17410946,3262821,243090826.17010453
ENFERMERIA,MEDICINA,9,Semestral,9493637,3500000,132549722.55321869
ESTUDIOS LITERARIOS,LITERATURA Y LINGUISTICA,8,Semestral,11574968,3138889,136811995.8662736
ESTUDIOS MUSICALES,MUSICA Y ARTES ESCENICAS,9,Semestral,15767731,3131173,220148334.0203323
FILOSOFIA,FILOSOFIA Y ETICA,9,Semestral,8876038,3023810,123926833.75947766
FINANZAS,"GESTION FINANCIERA, ADMINISTRACION BANCARIA Y SEGUROS",8,Semestral,17410946,3141667,205791175.5937393
HISTORIA,CIENCIAS POLITICAS Y EDUCACION CIVICA,8,Semestral,11574968,3535088,136811995.8662736
INGENIERIA CIVIL,CONSTRUCCION E INGENIERIA CIVIL,8,Semestral,16970600,4076923,200586442.83493337
INGENIERIA DE SISTEMAS,ELECTRONICA Y AUTOMATIZACION,8,Semestral,16970600,4157197,200586442.83493337
INGENIERIA ELECTRONICA,ELECTRONICA Y AUTOMATIZACION,8,Semestral,16970600,4157197,200586442.83493337
INGENIERIA EN REDES Y TELECOMUNICACIONES,DISENO Y ADMINISTRACION DE REDES Y BASES DE DATOS,8,Semestral,16970600,4856481,200586442.83493337
INGENIERIA INDUSTRIAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,8,Semestral,16970600,3809524,200586442.83493337
INGENIERIA MECANICA,MECANICA Y PROFESIONES AFINES A LA METALISTERIA,8,Semestral,16970600,4138889,200586442.83493337
INGENIERIA MECATRONICA,ELECTRONICA Y AUTOMATIZACION,8,Semestral,16970600,4157197,200586442.83493337
LICENCIATURA EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,CIENCIAS DE LA EDUCACION,8,Semestral,7466930,3021412,88256451.01513495
LICENCIATURA EN EDUCACION FISICA,CIENCIAS DE LA EDUCACION,8,Semestral,7466930,3021412,88256451.01513495
LICENCIATURA EN EDUCACION INFANTIL,CIENCIAS DE LA EDUCACION,8,Semestral,7466930,3021412,88256451.01513495
LICENCIATURA EN FILOSOFIA,CIENCIAS DE LA EDUCACION,8,Semestral,8453528,3021412,99917687.70258616
LICENCIATURA EN LENGUAS MODERNAS CON ENFASIS EN INGLES Y FRANCES,CIENCIAS DE LA EDUCACION,10,Semestral,11185903,3021412,182206572.9235367
LICENCIATURA EN LITERATURA Y LENGUA CASTELLANA,MUSICA Y ARTES ESCENICAS,8,Semestral,7466930,3131173,88256451.01513495
LICENCIATURA EN TEOLOGIA,CIENCIAS DE LA EDUCACION,10,Semestral,8321982,3021412,135556317.6393859
MATEMATICAS,MATEMATICAS,8,Semestral,7432372,3125000,87847987.77332325
MEDICINA,MEDICINA,12,Semestral,32930077,3500000,709652245.1621501
MICROBIOLOGIA INDUSTRIAL,BIOLOGIA,8,Semestral,12493564,3444444,147669473.15301648
NUTRICION Y DIETETICA,SALUD NO CLASIFICADA EN OTRA PARTE,10,Semestral,12493564,3366667,203506992.68900084
ODONTOLOGIA,ODONTOLOGIA Y ESTUDIOS DENTALES,10,Semestral,16625012,2833333,270803927.16910493
PSICOLOGIA,PSICOLOGIA,8,Semestral,15174658,2333333,179359048.55789804
QUIMICA FARMACEUTICA,FARMACIA,8,Semestral,12493564,3166667,147669473.15301648
RELACIONES INTERNACIONALES,CIENCIAS POLITICAS Y EDUCACION CIVICA,10,Semestral,15214790,3535088,247832896.78547156
SOCIOLOGIA,"SOCIOLOGIA, ANTROPOLOGIA Y ESTUDIOS CULTURALES",9,Semestral,11574968,3611111,161609170.11703572
TEOLOGIA,FILOSOFIA Y ETICA,10,Semestral,8321982,3023810,135556317.6393859
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,8,Semestral,11951000,3362637,141256560.06978473
ARQUITECTURA,CONSTRUCCION E INGENIERIA CIVIL,9,Semestral,10415000,4076923,145413750.32474622
ARTES VISUALES,BELLAS ARTES,8,Semestral,10077000,3068750,119106548.05649911
BIOLOGIA,BIOLOGIA,10,Semestral,10017000,3444444,163166374.76429635
CIENCIA POLITICA,CIENCIAS POLITICAS Y EDUCACION CIVICA,9,Semestral,9180000,3535088,128170737.20414501
COMUNICACION,"PERIODISMO, COMUNICACION Y REPORTAJES",8,Semestral,10762000,3307292,127203003.88846317
DERECHO,DERECHO,10,Semestral,12201000,2761905,198741433.4131157
DISENO DE COMUNICACION VISUAL,"DISENO INDUSTRIAL, DE MODA E INTERIORES",8,Semestral,11334000,3645238,133963839.99924192
ECONOMIA,ECONOMIA,8,Semestral,11722000,3262821,138549861.6967632
ENFERMERIA,MEDICINA,9,Semestral,8705000,3500000,121538809.08083685
FILOSOFIA,FILOSOFIA Y ETICA,8,Semestral,6572000,3023810,77678697.41265377
FINANZAS,"GESTION FINANCIERA, ADMINISTRACION BANCARIA Y SEGUROS",8,Semestral,11951000,3141667,141256560.06978473
GASTRONOMIA Y ARTES CULINARIAS,MUSICA Y ARTES ESCENICAS,8,Semestral,11236000,3131173,132805514.9313113
INGENIERIA BIOMEDICA,ELECTRONICA Y AUTOMATIZACION,8,Semestral,12204000,4157197,144246929.8880138
INGENIERIA CIVIL,CONSTRUCCION E INGENIERIA CIVIL,10,Semestral,11712000,4076923,190776138.688174
INGENIERIA DE SISTEMAS Y COMPUTACION,USO DE COMPUTADORES,10,Semestral,11712000,3937500,190776138.688174
INGENIERIA ELECTRONICA,ELECTRONICA Y AUTOMATIZACION,10,Semestral,11712000,4157197,190776138.688174
INGENIERIA INDUSTRIAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,11712000,3809524,190776138.688174
INGENIERIA MECANICA,MECANICA Y PROFESIONES AFINES A LA METALISTERIA,8,Semestral,11712000,4138889,138431665.26126006
MATEMATICAS APLICADAS,MATEMATICAS,8,Semestral,6902000,3125000,81579179.7842569
MEDICINA,MEDICINA,12,Semestral,22120000,3500000,476692103.1793142
MERCADEO,MERCADOTECNIA Y PUBLICIDAD,8,Semestral,13995000,3579710,165415911.4866235
NEGOCIOS INTERNACIONALES,GESTION Y ADMINISTRACION,8,Semestral,13995000,3362637,165415911.4866235
NUTRICION Y DIETETICA,SALUD NO CLASIFICADA EN OTRA PARTE,9,Semestral,9058000,3366667,126467378.8230006
PSICOLOGIA,PSICOLOGIA,10,Semestral,10525000,2333333,171441159.46832576
TURISMO,GESTION Y ADMINISTRACION,8,Semestral,11722000,3362637,138549861.6967632
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,9,Semestral,4849300,3362637,67705703.25970156
BIOLOGIA,BIOLOGIA,10,Semestral,5242200,3444444,85389914.12492706
CULTURA FISICA Y DEPORTE,PROGRAMAS Y CERTIFICACIONES INTERDISCIPLINARIOS RELATIVOS A SALUD Y BIENESTAR,10,Semestral,5410600,3685606,88132972.67642027
DERECHO,DERECHO,10,Semestral,5374300,2761905,87541683.92690006
ESTADISTICA,ESTADISTICA,9,Cuatrimestral,3561800,3625000,92909224.5892218
INGENIERIA DE ALIMENTOS,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,5786700,3809524,94259245.36773023
INGENIERIA DE SISTEMAS,ELECTRONICA Y AUTOMATIZACION,10,Semestral,5786700,4157197,94259245.36773023
INGENIERIA ELECTRONICA,ELECTRONICA Y AUTOMATIZACION,10,Semestral,5863200,4157197,95505349.75721498
INGENIERIA INDUSTRIAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,5786700,3809524,94259245.36773023
INGENIERIA MECANICA,MECANICA Y PROFESIONES AFINES A LA METALISTERIA,10,Semestral,5786700,4138889,94259245.36773023
LICENCIATURA EN EDUCACION INFANTIL,CIENCIAS DE LA EDUCACION,9,Cuatrimestral,3561800,3021412,92909224.5892218
MUSICA,MUSICA Y ARTES ESCENICAS,10,Semestral,7196100,3131173,117216886.2375315
PSICOLOGIA,PSICOLOGIA,10,Semestral,5730900,2333333,93350322.16598843
ADMINISTRACION AMBIENTAL Y DE LOS RECURSOS NATURALES,GESTION Y ADMINISTRACION,8,Semestral,3593408,3362637,42472801.690841354
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,8,Semestral,2470000,3362637,29194519.569271885
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,8,Semestral,6381700,3362637,75429419.2450293
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,GESTION Y ADMINISTRACION,10,Semestral,3080064,3362637,50170996.997306354
ARQUITECTURA,CONSTRUCCION E INGENIERIA CIVIL,10,Semestral,6843430,4076923,111472263.5572755
ARQUITECTURA,CONSTRUCCION E INGENIERIA CIVIL,10,Semestral,6949329,4076923,113197246.67808655
COMUNICACION SOCIAL,"PERIODISMO, COMUNICACION Y REPORTAJES",9,Semestral,7544100,3307292,105330376.74747172
CONSTRUCCION EN ARQUITECTURA E INGENIERIA,CONSTRUCCION E INGENIERIA CIVIL,10,Semestral,3932985,4076923,64064181.336962774
CONTADURIA PUBLICA,CONTABILIDAD E IMPUESTOS,9,Semestral,5356000,2958333,74780225.3230284
CONTADURIA PUBLICA,CONTABILIDAD E IMPUESTOS,10,Semestral,3983600,2958333,64888646.35230618
CONTADURIA PUBLICA,CONTABILIDAD E IMPUESTOS,9,Semestral,4500000,2958333,62828792.74712991
"CULTURA FISICA, DEPORTE Y RECREACION",PROGRAMAS Y CERTIFICACIONES INTERDISCIPLINARIOS RELATIVOS A SALUD Y BIENESTAR,10,Semestral,5500044,3685606,89589921.1863951
DERECHO,DERECHO,10,Semestral,5077043,2761905,82699680.62618025
DERECHO,DERECHO,10,Semestral,6359540,2761905,103590205.34776214
DERECHO,DERECHO,10,Semestral,9090600,2761905,148076294.94183016
DISENO GRAFICO,BELLAS ARTES,8,Semestral,8268225,3068750,97727472.2937826
ECONOMIA,ECONOMIA,9,Semestral,5977800,3262821,83461768.28528737
ESTADISTICA,ESTADISTICA,8,Semestral,4353200,3625000,51453272.30322039
GOBIERNO Y RELACIONES INTERNACIONALES,CIENCIAS POLITICAS Y EDUCACION CIVICA,8,Semestral,8848900,3535088,104590843.81236032
INGENIERIA AMBIENTAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,6344706,3809524,103348575.11882597
INGENIERIA AMBIENTAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,5500013,3809524,89589416.2290608
INGENIERIA CIVIL,CONSTRUCCION E INGENIERIA CIVIL,10,Semestral,6990000,4076923,113859734.4117432
INGENIERIA CIVIL,CONSTRUCCION E INGENIERIA CIVIL,10,Semestral,6300030,4076923,102620850.15536688
INGENIERIA DE SISTEMAS,DESARROLLO Y ANALISIS DE SOFTWARE Y APLICACIONES,10,Semestral,6200000,4758929,100991466.8602014
INGENIERIA DE TELECOMUNICACIONES,ELECTRONICA Y AUTOMATIZACION,10,Semestral,6609819,4157197,107666986.53071445
INGENIERIA ELECTRONICA,ELECTRONICA Y AUTOMATIZACION,10,Semestral,6991222,4157197,113879639.50408241
INGENIERIA EN HIGIENE Y SEGURIDAD INDUSTRIAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,6000000,3809524,97733677.60664652
INGENIERIA EN INFORMATICA,USO DE COMPUTADORES,10,Semestral,3306918,3937500,53866209.61393605
INGENIERIA EN LOGISTICA Y OPERACIONES,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,2665200,3809524,43413299.59287238
INGENIERIA INDUSTRIAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,8,Semestral,6066940,3809524,71709068.24113294
INGENIERIA INDUSTRIAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,8,Semestral,7350300,3809524,86877925.987862
INGENIERIA MECANICA,MECANICA Y PROFESIONES AFINES A LA METALISTERIA,10,Semestral,7008400,4138889,114159451.02307025
INGENIERIA MECANICA,MECANICA Y PROFESIONES AFINES A LA METALISTERIA,10,Semestral,6039110,4138889,98370738.29517917
INGENIERIA MECATRONICA,ELECTRONICA Y AUTOMATIZACION,10,Semestral,6200000,4157197,100991466.8602014
LICENCIATURA EN ARTES PLASTICAS,CIENCIAS DE LA EDUCACION,10,Semestral,3422790,3021412,55753642.39587561
LICENCIATURA EN BIOLOGIA,FORMACION PARA DOCENTES SIN ASIGNATURA DE ESPECIALIZACION,10,Semestral,3422790,3381944,55753642.39587561
LICENCIATURA EN EDUCACION INFANTIL,CIENCIAS DE LA EDUCACION,10,Semestral,2591400,3021412,42211175.35831063
LICENCIATURA EN EDUCACION RELIGIOSA,CIENCIAS DE LA EDUCACION,10,Semestral,3197250,3021412,52079833.45464177
LICENCIATURA EN FILOSOFIA Y LETRAS,CIENCIAS DE LA EDUCACION,9,Semestral,4391818,3021412,61318360.645581014
LICENCIATURA EN LENGUAS EXTRANJERAS INGLES,FORMACION PARA DOCENTES SIN ASIGNATURA DE ESPECIALIZACION,10,Semestral,3437280,3381944,55989669.22729566
LICENCIATURA EN TECNOLOGIA E INFORMATICA,FORMACION PARA DOCENTES SIN ASIGNATURA DE ESPECIALIZACION,10,Semestral,2864400,3381944,46658057.68941305
LICENCIATURA EN TEOLOGIA,CIENCIAS DE LA EDUCACION,10,Semestral,3273600,3021412,53323494.50218634
MERCADEO,MERCADOTECNIA Y PUBLICIDAD,9,Semestral,6620900,3579710,92440700.86654942
NEGOCIOS INTERNACIONALES,GESTION Y ADMINISTRACION,8,Semestral,7909000,3362637,93481560.8394216
NEGOCIOS INTERNACIONALES,GESTION Y ADMINISTRACION,8,Semestral,4998291,3362637,59078017.980735034
PROFESIONAL EN MODA,"DISENO INDUSTRIAL, DE MODA E INTERIORES",8,Semestral,6800000,3645238,80373576.14212503
PSICOLOGIA,PSICOLOGIA,10,Semestral,7729764,2333333,125909710.45857707
PSICOLOGIA,PSICOLOGIA,10,Semestral,5301670,2333333,86358617.75947161
SOCIOLOGIA,"SOCIOLOGIA, ANTROPOLOGIA Y ESTUDIOS CULTURALES",9,Semestral,4996858,3611111,69765901.25974178
TEOLOGIA,FILOSOFIA Y ETICA,8,Semestral,4570270,3023810,54018962.32868673
ZOOTECNIA,PRODUCCION AGRICOLA Y GANADERA,10,Semestral,3627960,3391667,59095645.50163489
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,8,Semestral,5355000,3362637,63294191.21192346
ADMINISTRACION DE EMPRESAS AGROPECUARIAS,GESTION Y ADMINISTRACION,8,Semestral,4611700,3362637,54508650.16097618
ARQUITECTURA,ARQUITECTURA Y URBANISMO,10,Semestral,7818000,3611111,127346981.92146042
CONTADURIA PUBLICA,CONTABILIDAD E IMPUESTOS,10,Semestral,4321800,2958333,70397567.98006749
"CULTURA FISICA, DEPORTE Y RECREACION",PROGRAMAS Y CERTIFICACIONES INTERDISCIPLINARIOS RELATIVOS A SALUD Y BIENESTAR,8,Semestral,4873000,3685606,57597123.020672835
DERECHO,DERECHO,10,Semestral,6161000,2761905,100356197.9557582
ECONOMIA,ECONOMIA,9,Semestral,4519800,3262821,63105239.435217276
INGENIERIA DE TELECOMUNICACIONES,ELECTRONICA Y AUTOMATIZACION,10,Semestral,5410000,4157197,88123199.30865961
INGENIERIA INDUSTRIAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,8,Semestral,5667600,3809524,66989011.78575115
INGENIERIA MECATRONICA,ELECTRONICA Y AUTOMATIZACION,10,Semestral,5962900,4157197,97129357.70011209
NEGOCIOS INTERNACIONALES,GESTION Y ADMINISTRACION,8,Semestral,5950600,3362637,70333970.91048959
ODONTOLOGIA,ODONTOLOGIA Y ESTUDIOS DENTALES,10,Semestral,9980000,2833333,162563683.75238872
OPTOMETRIA,SALUD NO CLASIFICADA EN OTRA PARTE,10,Semestral,8924900,3366667,145377216.54525992
QUIMICA AMBIENTAL,QUIMICA,8,Semestral,5196700,3305556,61423141.63790899
ADMINISTRACION DE EMPRESAS,GESTION Y ADMINISTRACION,9,Semestral,13122936,3362637,183221828.0395222
ADMINISTRACION DE EMPRESAS TURISTICAS Y HOTELERAS,GESTION Y ADMINISTRACION,9,Semestral,12249492,3362637,171026843.13902795
ANTROPOLOGIA,"SOCIOLOGIA, ANTROPOLOGIA Y ESTUDIOS CULTURALES",10,Semestral,8839701,3611111,143989414.6121918
ARQUEOLOGIA,"SOCIOLOGIA, ANTROPOLOGIA Y ESTUDIOS CULTURALES",10,Semestral,8839701,3611111,143989414.6121918
CIENCIA DE DATOS,"PROGRAMAS Y CERTIFICACIONES INTERDISCIPLINARIOS RELATIVOS A CIENCIAS NATURALES, MATEMATICAS Y ESTADISTICA",8,Semestral,10756640,3333333,127139650.59903349
COMUNICACION SOCIAL- PERIODISMO,"PERIODISMO, COMUNICACION Y REPORTAJES",9,Semestral,11014353,3307292,153781889.30682856
CONSERVACION Y RESTAURACION DE PATRIMONIO CULTURAL MUEBLE,BELLAS ARTES,10,Semestral,9963980,3068750,162302734.83317897
CONTADURIA PUBLICA,CONTABILIDAD E IMPUESTOS,9,Semestral,8000655,2958333,111704776.63028637
DERECHO,DERECHO,5,Anual,25512403,2761905,72055083.01305196
ECONOMIA,ECONOMIA,9,Semestral,12598870,3262821,175904842.68400723
FILOSOFIA,FILOSOFIA Y ETICA,10,Semestral,7500314,3023810,122172211.73743623
FINANZAS Y RELACIONES INTERNACIONALES,"GESTION FINANCIERA, ADMINISTRACION BANCARIA Y SEGUROS",8,Semestral,17309089,3141667,204587262.1606351
GEOGRAFIA,CIENCIAS SOCIALES Y DEL COMPORTAMIENTO NO CLASIFICADAS EN OTRA PARTE,10,Semestral,8839701,3466667,143989414.6121918
GOBIERNO Y RELACIONES INTERNACIONALES,CIENCIAS POLITICAS Y EDUCACION CIVICA,8,Semestral,17309089,3535088,204587262.1606351
HISTORIA,HISTORIA Y ARQUEOLOGIA,10,Semestral,7500125,3333333,122169133.12659162
